time,cpu,ram,connections,requests
12:53:55,0.00,0.02,0,0
12:53:56,0.00,0.02,0,0
12:53:57,0.00,0.02,0,0
12:53:58,0.00,0.02,0,0
12:53:59,0.00,0.02,0,0
12:54:00,0.00,0.02,0,0
12:54:02,0.00,0.02,0,0
12:54:03,0.00,0.02,0,0
12:54:04,2.00,0.03,2,3
12:54:05,9.00,0.03,2,3
12:54:06,6.00,0.03,2,3
12:54:08,6.00,0.03,2,3
12:54:09,5.00,0.03,2,3
12:54:10,9.00,0.03,2,3
12:54:12,8.00,0.03,2,3
12:54:13,8.00,0.03,2,3
12:54:14,5.00,0.03,2,3
12:54:16,6.00,0.03,2,3
12:54:17,5.94,0.03,2,3
12:54:18,9.00,0.03,2,3
12:54:19,8.00,0.03,2,3
12:54:21,9.00,0.03,2,3
12:54:22,9.00,0.03,2,3
12:54:23,7.00,0.03,2,3
12:54:24,9.00,0.03,2,3
12:54:25,9.00,0.03,2,3
12:54:27,9.00,0.03,2,3
12:54:28,9.00,0.03,2,3
12:54:29,8.00,0.03,2,3
12:54:30,8.00,0.03,2,3
12:54:31,8.00,0.03,2,3
12:54:32,9.00,0.03,2,3
12:54:34,7.92,0.03,4,5
12:54:35,16.00,0.03,4,5
12:54:36,16.00,0.03,4,5
12:54:37,18.00,0.03,4,5
12:54:38,16.00,0.03,4,5
12:54:40,16.00,0.03,4,5
12:54:41,16.00,0.03,4,5
12:54:42,16.00,0.03,4,5
12:54:43,14.00,0.03,4,5
12:54:45,15.00,0.03,4,5
12:54:46,13.00,0.03,4,5
12:54:47,16.00,0.03,4,5
12:54:48,16.00,0.03,4,5
12:54:50,16.00,0.03,4,5
12:54:51,17.00,0.03,4,5
12:54:52,16.00,0.03,4,5
12:54:53,15.00,0.03,4,5
12:54:54,16.00,0.03,4,5
12:54:56,15.00,0.03,4,5
12:54:57,15.00,0.03,4,5
12:54:58,16.00,0.03,4,5
12:54:59,16.00,0.03,4,5
12:55:01,15.00,0.03,4,5
12:55:02,16.83,0.03,4,5
12:55:03,16.00,0.03,4,5
12:55:04,19.00,0.03,6,7
12:55:05,22.00,0.03,6,7
12:55:07,22.00,0.03,6,7
12:55:08,21.00,0.03,6,7
12:55:09,11.00,0.04,6,7
12:55:11,21.00,0.04,6,7
12:55:12,22.00,0.04,6,7
12:55:13,20.00,0.04,6,7
12:55:14,22.00,0.04,6,7
12:55:16,22.00,0.04,6,7
12:55:17,19.00,0.04,6,7
12:55:18,23.00,0.04,6,7
12:55:20,23.00,0.04,6,7
12:55:21,22.00,0.04,6,7
12:55:22,21.00,0.04,6,7
12:55:24,23.00,0.04,6,7
12:55:25,20.00,0.04,6,7
12:55:26,22.00,0.04,6,7
12:55:27,23.00,0.04,6,7
12:55:29,21.00,0.04,6,7
12:55:30,23.00,0.04,6,7
12:55:31,21.00,0.04,6,7
12:55:33,23.00,0.04,6,7
12:55:34,20.00,0.04,8,9
12:55:35,22.00,0.04,8,9
12:55:37,29.00,0.04,8,9
12:55:38,25.00,0.04,8,9
12:55:39,25.00,0.04,8,9
12:55:41,25.00,0.04,8,9
12:55:42,23.00,0.04,8,9
12:55:43,24.75,0.04,8,9
12:55:45,24.00,0.04,8,9
12:55:46,24.00,0.04,8,9
12:55:47,26.00,0.04,8,9
12:55:49,24.00,0.04,8,9
12:55:50,22.00,0.04,8,9
12:55:51,22.77,0.04,8,9
12:55:53,24.00,0.04,8,9
12:55:54,21.78,0.04,8,9
12:55:55,26.00,0.04,8,9
12:55:57,23.00,0.04,8,9
12:55:58,24.00,0.04,8,9
12:55:59,25.00,0.04,8,9
12:56:01,24.00,0.04,8,9
12:56:02,25.00,0.04,8,9
12:56:03,20.79,0.04,8,9
12:56:05,26.00,0.04,10,11
12:56:06,25.00,0.04,10,11
12:56:07,26.00,0.04,10,11
12:56:09,25.74,0.04,10,11
12:56:10,25.00,0.04,10,11
12:56:11,26.00,0.04,10,11
12:56:13,26.00,0.04,10,11
12:56:14,25.00,0.04,10,11
12:56:15,25.00,0.04,10,11
12:56:17,24.00,0.04,10,11
12:56:18,24.00,0.04,10,11
12:56:19,27.00,0.04,10,11
12:56:21,27.00,0.04,10,11
