time,cpu,ram,connections,requests
14:07:23,0.00,0.62,0,0
14:07:24,0.00,0.62,0,0
14:07:25,0.00,0.62,0,0
14:07:26,0.00,0.62,0,0
14:07:27,0.00,0.62,0,0
14:07:28,0.00,0.62,0,0
14:07:29,0.00,0.62,0,0
14:07:30,0.00,0.62,0,0
14:07:31,0.00,0.62,0,0
14:07:32,4.00,0.64,2,3
14:07:33,37.00,0.71,2,3
14:07:34,38.00,0.72,2,3
14:07:35,37.62,0.75,2,3
14:07:36,38.00,0.75,2,3
14:07:37,32.00,0.74,2,3
14:07:38,31.00,0.76,2,3
14:07:39,38.00,0.75,2,3
14:07:40,29.00,0.77,2,3
14:07:41,32.00,0.75,2,3
14:07:42,24.00,0.77,2,3
14:07:43,28.00,0.76,2,3
14:07:44,28.00,0.75,2,3
14:07:45,26.00,0.76,2,3
14:07:46,28.00,0.76,2,3
14:07:47,26.00,0.77,2,3
14:07:48,25.00,0.76,2,3
14:07:49,24.00,0.75,2,3
14:07:50,26.00,0.77,2,3
14:07:51,24.00,0.75,2,3
14:07:52,23.00,0.77,2,3
14:07:53,26.00,0.75,2,3
14:07:54,22.00,0.77,2,3
14:07:55,25.00,0.76,2,3
14:07:56,23.00,0.75,2,3
14:07:57,21.00,0.76,2,3
14:07:58,23.00,0.76,2,3
14:07:59,24.00,0.77,2,3
14:08:00,23.00,0.76,2,3
14:08:01,20.00,0.77,2,3
14:08:02,26.00,0.76,4,5
14:08:03,44.00,0.76,4,5
14:08:04,44.00,0.77,4,5
14:08:05,42.00,0.77,4,5
14:08:06,43.00,0.77,4,5
14:08:07,43.00,0.77,4,5
14:08:08,44.00,0.77,4,5
14:08:09,41.00,0.77,4,5
14:08:10,41.00,0.77,4,5
14:08:11,45.00,0.77,4,5
14:08:12,43.00,0.77,4,5
14:08:13,41.00,0.77,4,5
14:08:14,44.00,0.77,4,5
14:08:15,42.57,0.77,4,5
14:08:16,41.00,0.77,4,5
14:08:17,40.00,0.77,4,5
14:08:18,41.00,0.78,4,5
14:08:19,46.00,0.75,4,5
14:08:20,43.00,0.75,4,5
14:08:21,47.00,0.76,4,5
14:08:22,41.00,0.75,4,5
14:08:23,44.00,0.76,4,5
14:08:24,39.00,0.76,4,5
14:08:25,44.00,0.76,4,5
14:08:26,45.00,0.76,4,5
14:08:27,41.00,0.76,4,5
14:08:28,42.00,0.76,4,5
14:08:29,41.00,0.76,4,5
14:08:30,42.00,0.76,4,5
14:08:31,40.00,0.76,4,5
14:08:32,44.00,0.76,6,7
14:08:33,50.00,0.77,6,7
14:08:34,46.00,0.75,6,7
14:08:35,45.00,0.76,6,7
14:08:36,50.00,0.77,6,7
14:08:37,47.00,0.78,6,7
14:08:38,45.00,0.75,6,7
14:08:39,49.00,0.76,6,7
14:08:40,47.00,0.77,6,7
14:08:41,47.00,0.78,6,7
14:08:42,48.00,0.76,6,7
14:08:43,50.00,0.77,6,7
14:08:44,50.00,0.75,6,7
14:08:45,50.00,0.76,6,7
14:08:46,51.00,0.77,6,7
14:08:47,50.00,0.75,6,7
14:08:48,46.00,0.76,6,7
14:08:49,48.00,0.77,6,7
14:08:50,46.00,0.75,6,7
14:08:51,50.00,0.76,6,7
14:08:52,48.00,0.76,6,7
14:08:53,45.00,0.78,6,7
