time,cpu,ram,connections,requests
15:10:58,0.00,0.07,0,0
15:10:59,0.00,0.07,0,0
15:11:00,0.00,0.07,0,0
15:11:01,0.00,0.07,0,0
15:11:02,0.00,0.07,0,0
15:11:03,0.00,0.07,0,0
15:11:05,0.00,0.07,0,0
15:11:06,0.00,0.07,0,0
15:11:07,1.00,0.07,2,3
15:11:08,4.00,0.07,2,3
15:11:09,4.00,0.07,2,3
15:11:10,5.00,0.07,2,3
15:11:12,5.00,0.07,2,3
15:11:13,5.00,0.07,2,3
15:11:14,5.00,0.07,2,3
15:11:15,5.00,0.07,2,3
15:11:16,4.00,0.07,2,3
15:11:17,5.00,0.07,2,3
15:11:19,3.96,0.07,2,3
15:11:20,5.00,0.07,2,3
15:11:21,5.00,0.07,2,3
15:11:22,4.00,0.07,2,3
15:11:23,4.95,0.07,2,3
15:11:25,5.00,0.07,2,3
15:11:26,5.00,0.07,2,3
15:11:27,4.00,0.07,2,3
15:11:28,3.00,0.07,2,3
15:11:29,5.00,0.07,2,3
15:11:30,4.00,0.07,2,3
15:11:32,4.00,0.07,2,3
15:11:33,4.00,0.07,2,3
15:11:34,4.00,0.07,2,3
15:11:35,5.00,0.07,2,3
15:11:36,5.00,0.07,2,3
15:11:37,8.00,0.07,4,5
15:11:39,8.00,0.07,4,5
15:11:40,9.00,0.07,4,5
15:11:41,9.00,0.07,4,5
15:11:42,8.00,0.07,4,5
15:11:43,9.00,0.07,4,5
15:11:45,8.00,0.07,4,5
15:11:46,9.00,0.07,4,5
15:11:47,8.00,0.07,4,5
15:11:48,8.00,0.07,4,5
15:11:49,9.00,0.07,4,5
15:11:51,8.00,0.07,4,5
15:11:52,8.00,0.07,4,5
15:11:53,9.00,0.07,4,5
15:11:54,7.00,0.07,4,5
15:11:55,8.00,0.07,4,5
15:11:57,9.00,0.07,4,5
15:11:58,8.00,0.07,4,5
15:11:59,9.00,0.07,4,5
15:12:00,8.91,0.07,4,5
15:12:02,8.00,0.07,4,5
15:12:03,10.00,0.07,4,5
15:12:04,7.00,0.07,4,5
15:12:05,7.00,0.07,4,5
15:12:06,7.00,0.07,4,5
15:12:08,10.00,0.07,6,7
15:12:09,11.00,0.07,6,7
15:12:10,10.00,0.07,6,7
15:12:11,12.00,0.07,6,7
