time,cpu,ram
11:03:17,0.00,0.02
11:03:18,0.00,0.02
11:03:19,0.00,0.02
11:03:20,0.00,0.02
11:03:21,0.00,0.02
11:03:23,0.00,0.02
11:03:24,0.00,0.02
11:03:25,0.00,0.02
11:03:26,3.00,0.03
11:03:27,13.00,0.03
11:03:28,22.00,0.03
11:03:30,27.00,0.04
11:03:31,26.00,0.04
11:03:32,28.00,0.04
11:03:33,31.00,0.04
11:03:35,29.00,0.05
11:03:36,29.00,0.05
11:03:37,28.00,0.05
11:03:39,31.00,0.05
11:03:40,34.00,0.05
11:03:41,31.00,0.06
11:03:42,34.00,0.06
11:03:44,33.00,0.07
11:03:45,35.00,0.06
11:03:46,39.00,0.07
11:03:47,34.00,0.07
11:03:49,38.00,0.06
11:03:50,35.00,0.07
11:03:51,39.00,0.07
11:03:52,43.00,0.07
11:03:54,42.00,0.08
11:03:55,39.00,0.08
11:03:56,40.00,0.08
11:03:58,38.00,0.08
11:03:59,42.00,0.08
11:04:00,45.00,0.08
11:04:01,43.00,0.08
11:04:03,47.00,0.09
11:04:04,48.00,0.09
11:04:05,52.00,0.09
11:04:06,46.00,0.09
11:04:08,46.00,0.10
11:04:09,49.00,0.10
11:04:10,50.00,0.10
11:04:12,47.00,0.09
11:04:13,48.00,0.11
11:04:14,47.00,0.10
11:04:15,51.00,0.11
11:04:17,48.51,0.10
11:04:18,53.00,0.11
11:04:19,51.00,0.10
11:04:20,55.00,0.11
11:04:21,54.00,0.10
11:04:23,51.00,0.12
11:04:24,48.00,0.11
11:04:25,50.00,0.11
11:04:26,52.00,0.12
