time,cpu,ram
10:53:06,0.00,0.68
10:53:07,0.00,0.68
10:53:08,0.00,0.68
10:53:09,0.00,0.68
10:53:10,0.00,0.68
10:53:11,0.00,0.68
10:53:12,0.00,0.68
10:53:13,0.00,0.68
10:53:14,0.00,0.68
10:53:15,2.97,0.68
10:53:16,42.00,0.76
10:53:17,66.34,0.76
10:53:18,68.32,0.75
10:53:19,63.00,0.77
10:53:20,64.00,0.79
10:53:21,77.00,0.78
10:53:22,61.39,0.77
10:53:23,63.00,0.78
10:53:24,61.00,0.77
10:53:25,68.00,0.77
10:53:26,66.00,0.78
10:53:27,61.00,0.78
10:53:28,66.00,0.77
10:53:29,75.00,0.79
10:53:30,73.00,0.80
10:53:31,69.00,0.77
10:53:32,68.00,0.78
10:53:33,71.00,0.79
10:53:34,71.00,0.78
10:53:35,74.00,0.79
10:53:36,70.00,0.78
10:53:37,79.00,0.77
10:53:38,72.00,0.78
10:53:39,77.00,0.77
10:53:40,80.00,0.76
10:53:41,81.00,0.80
10:53:42,80.00,0.77
10:53:43,79.00,0.78
10:53:44,77.23,0.78
10:53:45,77.00,0.77
10:53:46,78.00,0.77
10:53:47,81.00,0.80
10:53:48,82.00,0.78
10:53:49,84.00,0.79
10:53:50,83.00,0.79
10:53:51,82.00,0.79
10:53:52,87.00,0.77
10:53:53,79.00,0.79
10:53:54,79.00,0.78
10:53:55,82.00,0.80
10:53:56,86.00,0.78
10:53:57,88.00,0.76
10:53:58,90.00,0.78
10:53:59,84.00,0.79
10:54:00,83.00,0.79
10:54:01,88.00,0.79
10:54:02,85.00,0.79
10:54:03,79.00,0.81
10:54:04,86.00,0.78
10:54:05,85.00,0.79
10:54:06,88.00,0.79
10:54:07,82.00,0.79
10:54:08,91.00,0.79
10:54:09,90.00,0.81
10:54:10,90.00,0.78
10:54:11,89.00,0.82
10:54:12,94.00,0.78
10:54:13,83.00,0.78
10:54:14,91.00,0.80
10:54:15,86.00,0.80
