time,cpu,ram,connections,requests
11:40:15,0.00,0.06,0,0
11:40:17,0.00,0.06,0,0
11:40:18,0.00,0.06,0,0
11:40:19,0.00,0.06,0,0
11:40:20,0.00,0.06,0,0
11:40:21,0.00,0.06,0,0
11:40:22,0.00,0.06,0,0
11:40:24,0.00,0.06,0,0
11:40:25,5.00,0.06,2,3
11:40:26,9.00,0.06,2,3
11:40:27,9.00,0.06,2,3
11:40:28,8.00,0.06,2,3
11:40:30,10.00,0.06,4,5
11:40:31,18.00,0.06,4,5
11:40:32,18.00,0.06,4,5
11:40:33,16.00,0.06,4,5
11:40:34,14.85,0.06,4,5
11:40:36,20.00,0.06,6,7
11:40:37,24.00,0.06,6,7
11:40:38,23.00,0.06,6,7
11:40:39,23.00,0.06,6,7
11:40:41,26.00,0.06,8,9
11:40:42,27.00,0.06,8,9
11:40:43,27.00,0.06,8,9
11:40:44,24.00,0.06,8,9
11:40:46,27.72,0.06,10,11
11:40:47,29.00,0.06,10,11
11:40:48,26.00,0.06,10,11
11:40:49,28.00,0.06,10,11
11:40:50,26.00,0.06,12,13
11:40:52,28.00,0.06,12,13
11:40:53,27.00,0.06,12,13
11:40:54,29.00,0.06,12,13
11:40:56,24.00,0.06,14,15
11:40:57,26.00,0.06,14,15
11:40:58,31.00,0.06,14,15
11:40:59,29.00,0.06,14,15
11:41:01,30.00,0.06,16,17
11:41:02,28.00,0.06,16,17
11:41:03,29.00,0.06,16,17
11:41:05,28.00,0.06,18,19
11:41:06,30.00,0.06,18,19
11:41:07,29.00,0.06,18,19
11:41:09,28.00,0.06,18,19
11:41:10,29.00,0.06,20,21
11:41:11,29.00,0.06,20,21
11:41:13,31.00,0.06,20,21
11:41:14,29.00,0.06,20,21
11:41:15,30.00,0.06,22,23
11:41:16,29.00,0.06,22,23
11:41:17,29.00,0.06,22,23
11:41:19,30.00,0.06,22,23
11:41:20,29.00,0.05,24,25
11:41:21,30.00,0.05,24,25
11:41:23,32.00,0.05,24,25
11:41:24,30.00,0.05,24,25
11:41:25,31.00,0.06,26,27
11:41:26,31.00,0.06,26,27
11:41:28,29.00,0.06,26,27
11:41:29,32.00,0.06,26,27
11:41:30,31.00,0.06,28,29
11:41:31,30.00,0.06,28,29
11:41:33,34.00,0.06,28,29
11:41:34,35.00,0.06,28,29
11:41:35,34.00,0.06,30,31
11:41:36,33.00,0.06,30,31
11:41:38,35.00,0.06,30,31
11:41:39,32.00,0.06,30,31
11:41:40,38.00,0.06,32,33
11:41:41,34.00,0.06,32,33
11:41:43,34.65,0.06,32,33
11:41:44,35.00,0.06,32,33
11:41:45,33.66,0.06,34,35
11:41:46,36.00,0.06,34,35
11:41:48,36.00,0.06,34,35
11:41:49,33.00,0.06,34,35
11:41:50,32.00,0.06,36,37
11:41:51,37.00,0.06,36,37
11:41:53,36.00,0.06,36,37
11:41:54,34.00,0.06,36,37
11:41:55,39.00,0.06,38,39
11:41:56,35.00,0.06,38,39
11:41:58,36.00,0.06,38,39
11:41:59,36.00,0.06,38,39
11:42:00,35.00,0.06,40,41
11:42:01,34.00,0.06,40,41
11:42:03,32.00,0.06,40,41
11:42:04,38.00,0.06,40,41
11:42:05,36.00,0.07,42,43
11:42:06,39.00,0.07,42,43
11:42:08,33.00,0.07,42,43
11:42:09,36.00,0.07,42,43
11:42:10,36.00,0.07,44,45
11:42:11,35.00,0.07,44,45
11:42:13,38.00,0.07,44,45
11:42:14,34.00,0.07,44,45
11:42:15,34.00,0.07,46,47
11:42:16,36.00,0.07,46,47
11:42:18,36.00,0.07,46,47
11:42:19,34.00,0.07,46,47
11:42:20,36.00,0.07,48,49
11:42:21,36.00,0.07,48,49
11:42:23,35.00,0.07,48,49
11:42:24,37.00,0.07,48,49
11:42:25,36.00,0.07,50,51
11:42:27,37.00,0.07,50,51
11:42:28,37.00,0.07,50,51
11:42:29,42.00,0.07,50,51
11:42:30,39.00,0.07,52,53
11:42:31,39.00,0.08,52,53
11:42:33,38.00,0.08,52,53
11:42:34,38.00,0.07,52,53
11:42:35,42.00,0.07,54,55
11:42:36,38.00,0.07,54,55
11:42:38,41.00,0.07,54,55
11:42:39,40.00,0.07,54,55
11:42:40,42.00,0.07,56,57
11:42:41,39.00,0.07,56,57
11:42:43,39.60,0.08,56,57
11:42:44,44.00,0.07,56,57
11:42:45,34.00,0.08,58,59
11:42:47,42.00,0.08,58,59
11:42:48,39.00,0.08,58,59
11:42:49,47.00,0.07,58,59
11:42:50,40.00,0.08,60,61
11:42:52,40.00,0.07,60,61
11:42:53,43.00,0.08,60,61
11:42:54,38.00,0.08,60,61
11:42:56,43.00,0.09,62,63
11:42:57,40.00,0.08,62,63
11:42:58,42.00,0.08,62,63
11:42:59,38.00,0.08,62,63
11:43:00,42.00,0.08,64,65
11:43:02,39.00,0.08,64,65
11:43:03,42.00,0.08,64,65
11:43:04,45.00,0.08,64,65
11:43:06,42.00,0.08,66,67
11:43:07,40.00,0.08,66,67
11:43:08,45.00,0.09,66,67
11:43:10,41.00,0.09,66,67
11:43:11,37.00,0.08,68,69
11:43:12,42.00,0.08,68,69
11:43:13,37.62,0.08,68,69
11:43:15,44.00,0.07,68,69
11:43:16,39.00,0.09,70,71
11:43:17,39.60,0.08,70,71
11:43:18,41.00,0.07,70,71
11:43:20,42.00,0.08,70,71
11:43:21,42.00,0.08,72,73
11:43:22,41.00,0.09,72,73
11:43:23,43.00,0.09,72,73
11:43:25,39.00,0.08,72,73
11:43:26,39.00,0.09,74,75
11:43:27,42.00,0.08,74,75
11:43:29,43.00,0.09,74,75
11:43:30,43.00,0.09,74,75
11:43:31,44.00,0.09,76,77
11:43:32,43.00,0.09,76,77
11:43:34,46.00,0.09,76,77
11:43:35,42.00,0.08,78,79
11:43:36,43.56,0.10,78,79
11:43:38,44.00,0.08,78,79
11:43:39,41.00,0.10,78,79
11:43:40,43.00,0.08,80,81
11:43:41,46.00,0.09,80,81
11:43:43,46.00,0.10,80,81
11:43:44,45.00,0.08,80,81
11:43:45,44.00,0.09,82,83
11:43:46,44.00,0.10,82,83
11:43:48,44.55,0.09,82,83
11:43:49,44.00,0.10,82,83
11:43:50,45.00,0.10,84,85
11:43:51,47.00,0.09,84,85
11:43:53,41.00,0.09,84,85
11:43:54,42.00,0.09,84,85
11:43:55,44.00,0.09,86,87
11:43:57,44.00,0.10,86,87
11:43:58,47.52,0.09,86,87
