time,cpu,ram
23:21:06,0.00,0.06
23:21:08,0.00,0.06
23:21:09,0.00,0.06
23:21:10,0.00,0.06
23:21:12,0.00,0.06
23:21:13,3.00,0.06
23:21:14,8.00,0.06
23:21:15,8.00,0.06
23:21:17,8.00,0.06
23:21:18,9.00,0.06
23:21:20,17.00,0.06
23:21:21,17.00,0.06
23:21:23,17.00,0.06
23:21:24,23.00,0.06
23:21:25,21.00,0.06
23:21:26,22.00,0.06
23:21:28,23.00,0.06
23:21:29,26.00,0.06
23:21:30,27.00,0.06
23:21:31,27.00,0.06
23:21:33,26.00,0.06
23:21:34,28.00,0.06
23:21:35,25.00,0.06
23:21:36,28.00,0.06
23:21:38,26.73,0.06
23:21:39,30.00,0.06
23:21:40,28.00,0.06
23:21:42,30.00,0.06
23:21:43,30.00,0.06
23:21:44,30.00,0.06
23:21:45,27.72,0.06
23:21:47,29.00,0.06
23:21:48,31.00,0.06
23:21:49,29.00,0.06
23:21:50,30.00,0.06
23:21:52,31.00,0.06
23:21:53,28.00,0.06
23:21:54,33.00,0.06
23:21:56,31.00,0.06
23:21:57,31.00,0.06
23:21:58,30.69,0.06
23:21:59,30.00,0.06
23:22:01,31.00,0.06
23:22:02,29.00,0.06
23:22:03,33.00,0.06
23:22:05,32.00,0.06
23:22:06,31.00,0.06
23:22:07,33.00,0.06
23:22:09,33.00,0.06
23:22:10,32.00,0.06
23:22:11,35.00,0.06
23:22:12,34.00,0.06
23:22:14,32.00,0.06
23:22:15,34.00,0.06
23:22:16,32.00,0.06
23:22:17,31.00,0.06
23:22:19,32.00,0.06
23:22:20,31.68,0.06
23:22:21,32.00,0.06
23:22:22,35.00,0.06
23:22:24,33.00,0.06
23:22:25,32.00,0.06
23:22:26,31.00,0.06
23:22:28,32.00,0.06
23:22:29,32.00,0.06
23:22:30,33.00,0.06
23:22:31,33.00,0.06
23:22:33,29.70,0.06
23:22:34,32.67,0.06
23:22:35,32.00,0.06
23:22:36,34.00,0.06
23:22:38,37.00,0.06
23:22:39,34.00,0.06
23:22:40,31.00,0.06
23:22:42,34.00,0.06
23:22:43,32.00,0.06
23:22:44,32.00,0.06
23:22:45,35.00,0.05
23:22:47,35.00,0.05
23:22:48,35.00,0.05
23:22:49,35.00,0.05
23:22:50,36.00,0.05
23:22:52,36.00,0.05
23:22:53,37.00,0.05
23:22:54,31.68,0.05
23:22:56,28.71,0.05
23:22:57,35.00,0.05
23:22:58,38.00,0.05
23:22:59,36.00,0.05
23:23:01,36.00,0.05
23:23:02,36.00,0.05
23:23:03,38.00,0.05
23:23:05,35.00,0.05
23:23:06,36.00,0.05
23:23:07,33.00,0.06
23:23:09,36.00,0.05
23:23:10,39.00,0.05
23:23:11,38.00,0.05
23:23:12,34.00,0.05
23:23:14,35.64,0.06
23:23:15,34.00,0.05
