time,cpu,ram,connections,requests
16:32:20,0.00,0.08,0,0
16:32:21,0.00,0.08,0,0
16:32:22,0.00,0.08,0,0
16:32:23,0.00,0.08,0,0
16:32:24,0.00,0.08,0,0
16:32:25,0.00,0.08,0,0
16:32:26,48.00,0.08,0,0
16:32:27,92.00,0.08,0,0
16:32:28,92.00,0.08,0,0
16:32:29,88.00,0.08,2,2
16:32:30,93.00,0.08,4,3
16:32:31,84.00,0.08,6,4
16:32:32,0.00,0.08,8,5
16:32:33,0.00,0.08,10,6
16:32:34,0.00,0.08,12,7
16:32:35,0.00,0.08,14,8
16:32:36,77.00,0.08,16,9
16:32:37,92.00,0.08,18,10
16:32:38,92.00,0.08,20,11
16:32:39,94.00,0.08,22,12
16:32:40,12.00,0.08,24,13
16:32:41,0.00,0.08,26,14
16:32:42,0.00,0.08,28,15
16:32:43,40.00,0.08,30,16
16:32:44,63.00,0.08,32,17
16:32:45,61.00,0.08,34,18
16:32:46,62.00,0.08,36,19
16:32:47,60.00,0.08,38,20
16:32:48,62.00,0.08,40,21
16:32:49,46.00,0.08,42,22
16:32:50,0.00,0.08,44,23
16:32:54,0.00,0.08,50,26
16:32:55,0.00,0.08,52,27
