time,cpu,ram,connections,requests,internetverkeer
11:35:56,0,0.72,0,0,0
11:35:57,0,0.72,0,0,0
11:35:58,0,0.72,0,0,0
11:35:59,0,0.72,0,0,0
11:36:00,0,0.72,0,0,0
11:36:01,0,0.72,0,0,0
11:36:02,0,0.72,0,0,0
11:36:03,0,0.72,0,0,0
11:36:04,0,0.72,0,0,0
11:36:05,4,0.71,2,2,4
11:36:06,22,0.71,2,2,4
11:36:07,38,0.74,2,2,4
11:36:08,34.65,0.75,2,2,4
11:36:09,31,0.74,2,2,4
11:36:10,31,0.76,2,2,4
11:36:11,36,0.75,2,2,4
11:36:12,29,0.76,2,2,4
11:36:13,30,0.75,2,2,4
11:36:14,28,0.77,2,2,4
11:36:15,24,0.76,2,2,4
11:36:16,24,0.75,2,2,4
11:36:17,24,0.76,2,2,4
11:36:18,24,0.76,2,2,4
11:36:19,21,0.75,2,2,4
11:36:20,22,0.77,2,2,4
11:36:21,23,0.75,2,2,4
11:36:22,23,0.74,2,2,4
11:36:23,22,0.77,2,2,4
11:36:24,25,0.76,2,2,4
11:36:25,20,0.77,2,2,4
11:36:26,22,0.76,2,2,4
11:36:27,21,0.75,2,2,4
11:36:28,20,0.77,2,2,4
11:36:29,24,0.76,2,2,4
11:36:30,21,0.75,2,2,4
11:36:31,21,0.77,2,2,4
11:36:32,23,0.76,2,2,4
11:36:33,23,0.75,2,2,4
11:36:34,22,0.77,2,2,4
11:36:35,25,0.76,4,3,12
11:36:36,37,0.76,4,3,12
11:36:37,37,0.76,4,3,12
11:36:38,38,0.76,4,3,12
11:36:39,38,0.76,4,3,12
11:36:40,37,0.76,4,3,12
11:36:41,38,0.76,4,3,12
11:36:42,33,0.76,4,3,12
11:36:43,39,0.76,4,3,12
11:36:44,38,0.76,4,3,12
11:36:45,34,0.76,4,3,12
11:36:46,37,0.76,4,3,12
11:36:47,36,0.76,4,3,12
11:36:48,36,0.76,4,3,12
11:36:49,38,0.76,4,3,12
11:36:50,37,0.76,4,3,12
11:36:51,37,0.75,4,3,12
11:36:52,35,0.75,4,3,12
11:36:53,38,0.76,4,3,12
11:36:54,37,0.76,4,3,12
11:36:55,38,0.76,4,3,12
11:36:56,36,0.76,4,3,12
11:36:57,37,0.76,4,3,12
11:36:58,36,0.76,4,3,12
11:36:59,38,0.76,4,3,12
11:37:00,37,0.76,4,3,12
11:37:01,36,0.76,4,3,12
11:37:02,36,0.76,4,3,12
11:37:03,39,0.76,4,3,12
11:37:04,37,0.76,4,3,12
11:37:05,40,0.76,6,4,24
11:37:06,40,0.77,6,4,24
11:37:07,42,0.78,6,4,24
11:37:08,44,0.76,6,4,24
11:37:09,42,0.77,6,4,24
11:37:10,43,0.77,6,4,24
11:37:11,43,0.75,6,4,24
11:37:12,49,0.76,6,4,24
11:37:13,42,0.77,6,4,24
11:37:14,42,0.78,6,4,24
11:37:15,47,0.75,6,4,24
11:37:16,42,0.77,6,4,24
11:37:17,45,0.77,6,4,24
11:37:18,45.54,0.75,6,4,24
11:37:19,44,0.76,6,4,24
11:37:20,43,0.77,6,4,24
11:37:21,42,0.78,6,4,24
11:37:22,45,0.76,6,4,24
11:37:23,42,0.77,6,4,24
11:37:24,43,0.77,6,4,24
11:37:25,45,0.76,6,4,24
11:37:26,43,0.76,6,4,24
11:37:27,42,0.77,6,4,24
11:37:28,43,0.77,6,4,24
11:37:29,43,0.75,6,4,24
11:37:30,43,0.76,6,4,24
11:37:31,44,0.77,6,4,24
11:37:32,42,0.78,6,4,24
11:37:33,43,0.76,6,4,24
11:37:34,45,0.77,6,4,24
11:37:35,42,0.78,8,5,40
11:37:36,46,0.76,8,5,40
11:37:37,47,0.78,8,5,40
11:37:38,47,0.76,8,5,40
11:37:39,51,0.77,8,5,40
11:37:40,44,0.76,8,5,40
11:37:41,46,0.77,8,5,40
11:37:42,43,0.78,8,5,40
11:37:43,47,0.76,8,5,40
11:37:44,45,0.77,8,5,40
